City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
2,Espinosa,BR,70.3,scattered clouds,-14.9261,-42.8192,Hotel Vilma
5,Atuona,PF,79.0,clear sky,-9.8,-139.0333,Villa Enata
10,Coari,BR,73.98,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
13,Monrovia,LR,77.68,clear sky,6.3005,-10.7969,Sunset Inn
16,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
23,Sao Filipe,CV,72.52,clear sky,14.8961,-24.4956,Hotel Xaguate
28,Rio Grande,BR,70.95,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
30,Cidreira,BR,75.7,broken clouds,-30.1811,-50.2056,Hotel Castelo
33,Senanga,ZM,65.39,light rain,-16.1167,23.2667,Zango lodge
37,Tocopilla,CL,68.99,few clouds,-22.092,-70.1979,Hotel Galvarino
44,Victoria,HK,61.18,broken clouds,22.2855,114.1577,Mini Hotel Central
47,East London,ZA,69.28,light rain,-33.0153,27.9116,Tu Casa
48,Deniliquin,AU,75.99,clear sky,-35.5333,144.9667,Riviana Motel
50,Esperance,AU,79.16,clear sky,-33.8667,121.9,Hospitality Esperance
52,Cabo San Lucas,MX,67.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
53,Hilo,US,74.93,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Camapua,BR,73.63,light rain,-19.5314,-54.0439,Comercial Estrela
58,Cape Town,ZA,62.28,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
59,Saldanha,ZA,61.16,clear sky,-33.0117,17.9442,Blue Bay Lodge
60,New Norfolk,AU,71.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
61,Kalmunai,LK,77.11,clear sky,7.4167,81.8167,VS Villa
66,Yangambi,CD,68.76,overcast clouds,0.8102,24.4336,
68,Port Lincoln,AU,67.89,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
71,Vao,NC,75.15,light rain,-22.6667,167.4833,Hotel Kou-Bugny
72,Port Alfred,ZA,69.89,overcast clouds,-33.5906,26.891,The Halyards Hotel
76,Hobart,AU,72.01,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
78,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
81,Hermanus,ZA,60.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Hotel San Juan
84,Arraial Do Cabo,BR,75.38,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
87,Morros,BR,74.59,scattered clouds,-9.4467,-46.3003,
90,Kapaa,US,76.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Castro,BR,64.47,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
92,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
93,Mandera,KE,76.01,broken clouds,3.9366,41.867,Mwalimu Guest mandera
101,Soyo,AO,77.02,overcast clouds,-6.1349,12.3689,Hotel Mpampa
