City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,11.71,100,0,4.61,US,2022-01-31 05:10:11
1,Iqaluit,63.7506,-68.5145,-25.31,74,23,5.01,CA,2022-01-31 05:03:21
2,Port Alfred,-33.5906,26.891,74.32,84,100,11.79,ZA,2022-01-31 05:09:26
3,Mataura,-46.1927,168.8643,71.47,57,92,4.94,NZ,2022-01-31 05:09:25
4,Hobart,-42.8794,147.3294,86.27,56,20,1.01,AU,2022-01-31 05:10:11
5,Caravelas,-17.7125,-39.2481,77.36,87,64,8.66,BR,2022-01-31 05:06:50
6,Kyaikkami,16.08,97.5675,76.53,64,35,4.72,MM,2022-01-31 05:10:12
7,Tuktoyaktuk,69.4541,-133.0374,-4.25,96,100,15.79,CA,2022-01-31 05:10:12
8,Sitka,57.0531,-135.33,33.69,86,0,0.0,US,2022-01-31 05:09:15
9,Kapaa,22.0752,-159.319,72.12,74,20,5.75,US,2022-01-31 05:07:11
10,Albany,42.6001,-73.9662,8.92,66,23,2.86,US,2022-01-31 05:06:48
11,Victoria,22.2855,114.1577,60.24,72,96,1.99,HK,2022-01-31 05:10:13
12,Richards Bay,-28.783,32.0377,74.19,82,96,7.58,ZA,2022-01-31 05:08:14
13,Urucui,-7.2294,-44.5561,71.58,93,17,2.01,BR,2022-01-31 05:09:02
14,Norman Wells,65.282,-126.8329,-8.14,98,100,4.99,CA,2022-01-31 05:06:16
15,Ushuaia,-54.8,-68.3,42.46,75,40,10.36,AR,2022-01-31 05:09:14
16,Cururupu,-1.8283,-44.8683,74.21,86,100,4.03,BR,2022-01-31 05:10:15
17,Bredasdorp,-34.5322,20.0403,73.27,86,100,10.2,ZA,2022-01-31 05:10:15
18,Bluff,-46.6,168.3333,71.8,84,96,3.38,NZ,2022-01-31 05:10:15
19,Puri,19.8,85.85,75.72,56,25,5.41,IN,2022-01-31 05:10:16
20,Naze,28.3667,129.4833,55.26,55,63,16.71,JP,2022-01-31 05:04:48
21,Coahuayana,18.7333,-103.6833,68.63,73,0,3.24,MX,2022-01-31 05:08:18
22,Loandjili,-4.7561,11.8578,77.18,88,97,1.83,CG,2022-01-31 05:10:16
23,Sikonge,-5.6333,32.7667,62.96,97,100,4.61,TZ,2022-01-31 05:10:17
24,Kruisfontein,-34.0033,24.7314,66.88,83,90,4.41,ZA,2022-01-31 05:10:17
25,Te Anau,-45.4167,167.7167,72.16,68,98,2.95,NZ,2022-01-31 05:09:06
26,Yellowknife,62.456,-114.3525,-11.58,95,100,10.4,CA,2022-01-31 05:08:02
27,Longyearbyen,78.2186,15.6401,10.24,61,40,17.27,SJ,2022-01-31 05:10:18
28,Itaituba,-4.2761,-55.9836,72.75,95,100,1.07,BR,2022-01-31 05:10:18
29,Ico,-6.4011,-38.8622,73.58,80,35,1.25,BR,2022-01-31 05:10:18
30,Vao,-22.6667,167.4833,79.63,79,65,3.8,NC,2022-01-31 05:04:27
31,Havre-Saint-Pierre,50.2334,-63.5986,3.22,86,83,10.78,CA,2022-01-31 05:10:19
32,Erenhot,43.6475,111.9767,8.47,70,94,10.71,CN,2022-01-31 05:03:13
33,Saint-Louis,16.3333,-15.0,76.26,14,98,10.25,SN,2022-01-31 05:10:19
34,Qasigiannguit,68.8193,-51.1922,-9.53,65,44,12.06,GL,2022-01-31 05:10:20
35,Aksarka,66.5606,67.7975,-9.11,100,99,3.38,RU,2022-01-31 05:06:53
36,Ribeira Grande,38.5167,-28.7,59.5,72,40,23.22,PT,2022-01-31 05:06:55
37,Hede,33.7681,120.2517,46.31,49,94,13.62,CN,2022-01-31 05:10:21
38,Kontagora,10.3999,5.4695,68.13,14,78,10.8,NG,2022-01-31 05:10:21
39,Cape Town,-33.9258,18.4232,72.12,79,81,6.31,ZA,2022-01-31 05:10:21
40,Waipawa,-41.4122,175.5153,65.3,67,14,10.09,NZ,2022-01-31 05:05:35
41,Pitkyaranta,61.5734,31.4792,20.23,95,100,9.28,RU,2022-01-31 05:10:22
42,Soure,-0.7167,-48.5233,75.51,89,99,7.2,BR,2022-01-31 05:10:22
43,Auki,-8.7676,160.7034,82.71,81,91,4.14,SB,2022-01-31 05:10:22
44,Vaini,-21.2,-175.2,81.45,70,100,15.82,TO,2022-01-31 05:09:19
45,Geraldton,-28.7667,114.6,84.61,48,0,21.85,AU,2022-01-31 05:04:27
46,East London,-33.0153,27.9116,74.41,80,100,12.46,ZA,2022-01-31 05:11:23
47,Inirida,3.8653,-67.9239,71.69,62,26,2.19,CO,2022-01-31 05:11:23
48,Bayji,34.9311,43.487,45.5,66,0,4.03,IQ,2022-01-31 05:11:24
